client,enroll_avg_ms,enroll_p95_ms,enroll_max_ms,sign_avg_ms,sign_max_ms,bsm_cycles,deadline_misses,provisions_ok
1,283.5,637.8,1956.7,0.090,0.253,1857,7,22
2,254.3,779.7,1204.2,0.090,0.256,1849,7,22
3,288.9,652.6,2326.1,0.091,0.243,1811,7,22
4,269.2,462.7,476.5,0.089,0.168,1830,7,22
5,286.4,516.9,850.5,0.086,0.205,1812,7,22
6,192.9,294.1,307.6,0.087,0.234,1803,7,22
7,197.2,292.8,296.6,0.087,0.200,1797,7,22
8,181.6,290.3,296.7,0.086,0.234,1792,6,22
9,221.4,335.2,481.7,0.089,0.190,1775,6,22
10,249.5,409.9,832.3,0.088,0.238,1763,6,22
