timestamp_ns,bsm_cycles,bsm_deadline_miss,provision_ok,provision_fail,last_keygen_ms,last_enroll_ms,last_pseudonym_ms,last_bsm_sign_ms,max_bsm_sign_ms,last_mutex_wait_ms,max_mutex_wait_ms,last_crl_check_ms,max_crl_check_ms,revoke_request_ms
443703998058000,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
443704907749000,12646,0,253,0,1.155,0.081,0.079,0.188,29.918,0.000,0.021,0.077,1.234,0.000
443704999419000,10,0,0,0,0.000,0.000,0.000,0.152,0.240,0.000,0.000,0.000,0.000,0.000
443705908600000,12656,0,254,0,2.203,0.567,0.186,0.105,29.918,0.000,0.021,0.077,1.234,0.000
443706001546000,20,0,0,0,0.000,0.000,0.000,0.076,0.240,0.000,0.001,0.000,0.000,0.000
443706909939000,12666,0,254,0,2.203,0.567,0.186,0.067,29.918,0.000,0.021,0.077,1.234,0.000
443707002816000,30,0,0,0,0.000,0.000,0.000,0.083,0.240,0.000,0.001,0.000,0.000,0.000
443707911292000,12676,0,254,0,2.203,0.567,0.186,0.125,29.918,0.000,0.021,0.077,1.234,0.000
443708004091000,40,0,0,0,0.000,0.000,0.000,0.116,0.240,0.000,0.001,0.000,0.000,0.000
443708912621000,12686,0,254,0,2.203,0.567,0.186,0.061,29.918,0.000,0.021,0.077,1.234,0.000
443709005417000,50,0,0,0,0.000,0.000,0.000,0.192,0.240,0.000,0.001,0.000,0.000,0.000
443709913910000,12696,0,254,0,2.203,0.567,0.186,0.107,29.918,0.000,0.021,0.077,1.234,0.000
443710006777000,60,0,0,0,0.000,0.000,0.000,0.119,0.386,0.000,0.001,0.000,0.000,0.000
443710915471000,12706,0,255,0,0.652,0.104,0.061,0.094,29.918,0.000,0.021,0.077,1.234,0.000
443711008072000,70,0,0,0,0.000,0.000,0.000,0.087,0.386,0.001,0.001,0.000,0.000,0.000
443711916765000,12716,0,255,0,0.652,0.104,0.061,0.121,29.918,0.000,0.021,0.077,1.234,0.000
443712009855000,80,0,0,0,0.000,0.000,0.000,0.102,0.386,0.000,0.001,0.000,0.000,0.000
443712918053000,12726,0,255,0,0.652,0.104,0.061,0.111,29.918,0.001,0.021,0.077,1.234,0.000
443713011325000,90,0,0,0,0.000,0.000,0.000,0.141,0.386,0.000,0.001,0.000,0.000,0.000
443713919392000,12736,0,255,0,0.652,0.104,0.061,0.126,29.918,0.000,0.021,0.077,1.234,0.000
443714012622000,100,0,0,0,0.000,0.000,0.000,0.141,0.386,0.000,0.001,0.000,0.000,0.000
443714920833000,12746,0,255,0,0.652,0.104,0.061,0.327,29.918,0.000,0.021,0.077,1.234,0.000
443715014366000,111,0,0,0,0.000,0.000,0.000,0.083,0.386,0.000,0.001,0.000,0.000,0.000
443715922193000,12756,0,256,0,2.229,0.367,0.240,0.144,29.918,0.000,0.021,0.077,1.234,0.000
443716015070000,121,0,0,0,0.000,0.000,0.000,0.093,0.386,0.001,0.001,0.000,0.000,0.000
443716923575000,12766,0,256,0,2.229,0.367,0.240,0.169,29.918,0.000,0.021,0.077,1.234,0.000
443717016170000,130,0,0,0,0.000,0.000,0.000,0.188,0.386,0.000,0.001,0.000,0.000,0.000
443717924670000,12776,0,256,0,2.229,0.367,0.240,0.121,29.918,0.000,0.021,0.077,1.234,0.000
443718017480000,140,0,0,0,0.000,0.000,0.000,0.148,0.616,0.000,0.001,0.000,0.000,0.000
443718926005000,12786,0,256,0,2.229,0.367,0.240,0.219,29.918,0.000,0.021,0.077,1.234,0.000
443719018803000,151,0,0,0,0.000,0.000,0.000,0.093,0.616,0.000,0.001,0.000,0.000,0.000
443719927202000,12796,0,256,0,2.229,0.367,0.240,0.126,29.918,0.000,0.021,0.077,1.234,0.000
443720020108000,161,0,0,0,0.000,0.000,0.000,0.144,0.616,0.000,0.001,0.000,0.000,0.000
