timestamp_ns,bsm_cycles,bsm_deadline_miss,provision_ok,provision_fail,last_keygen_ms,last_enroll_ms,last_pseudonym_ms,last_bsm_sign_ms,max_bsm_sign_ms,last_mutex_wait_ms,max_mutex_wait_ms,last_crl_check_ms,max_crl_check_ms,revoke_request_ms
891965542979,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
892971772122,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
893971967904,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
894972196691,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
895972409317,9,1,1,0,2.734,156.634,2905.345,0.091,0.127,0.000,0.000,0.000,0.000,0.000
897018412911,20,1,1,0,2.734,156.634,2905.345,0.089,0.160,0.000,0.000,0.000,0.000,0.000
898025014134,29,1,1,0,2.734,156.634,2905.345,0.083,0.160,0.000,0.000,0.000,0.000,0.000
899026605971,39,1,1,0,2.734,156.634,2905.345,0.105,0.161,0.000,0.000,0.000,0.000,0.000
900031747999,48,1,1,0,2.734,156.634,2905.345,0.077,0.161,0.000,0.000,0.000,0.000,0.000
901031890401,58,1,1,0,2.734,156.634,2905.345,0.111,0.161,0.000,0.000,0.000,0.000,0.000
902032057957,68,1,1,0,2.734,156.634,2905.345,0.095,0.161,0.000,0.000,0.000,0.000,0.000
903032199189,78,1,2,0,0.581,156.799,2835.479,0.066,0.161,0.000,0.000,0.000,0.000,0.000
904032345807,88,1,2,0,0.581,156.799,2835.479,0.091,0.161,0.000,0.000,0.000,0.000,0.000
905037011312,98,1,2,0,0.581,156.799,2835.479,0.090,0.161,0.000,0.000,0.000,0.000,0.000
906045347935,107,1,2,0,0.581,156.799,2835.479,0.285,0.285,0.000,0.000,0.000,0.000,0.000
907069058308,117,1,2,0,0.581,156.799,2835.479,0.096,0.285,0.000,0.000,0.000,0.000,0.000
908091966712,127,1,2,0,0.581,156.799,2835.479,0.145,0.285,0.000,0.000,0.000,0.000,0.000
909092250533,137,1,2,0,0.581,156.799,2835.479,0.057,0.285,0.000,0.000,0.000,0.000,0.000
910092488989,147,1,2,0,0.581,156.799,2835.479,0.075,0.285,0.000,0.000,0.000,0.000,0.000
911092804281,157,1,3,0,0.876,132.895,2848.772,0.162,0.285,0.000,0.000,0.000,0.000,0.000
912093060252,167,1,3,0,0.876,132.895,2848.772,0.128,0.285,0.000,0.000,0.000,0.000,0.000
913114165163,177,1,3,0,0.876,132.895,2848.772,0.094,0.285,0.000,0.000,0.000,0.000,0.000
914182336326,187,1,3,0,0.876,132.895,2848.772,0.065,0.285,0.000,0.000,0.000,0.000,0.000
915250457315,197,1,3,0,0.876,132.895,2848.772,0.079,0.285,0.000,0.000,0.000,0.000,0.000
916250650042,207,1,3,0,0.876,132.895,2848.772,0.090,0.285,0.000,0.000,0.000,0.000,0.000
917250850948,217,1,3,0,0.876,132.895,2848.772,0.076,0.285,0.000,0.000,0.000,0.000,0.000
918251002157,227,1,3,0,0.876,132.895,2848.772,0.096,0.285,0.000,0.000,0.000,0.000,0.000
919251172535,237,1,3,0,0.876,132.895,2848.772,0.088,0.285,0.000,0.000,0.000,0.000,0.000
920251345557,247,1,4,0,0.589,214.810,3827.265,0.086,0.285,0.000,0.000,0.000,0.000,0.000
921251519921,257,1,4,0,0.589,214.810,3827.265,0.114,0.285,0.000,0.000,0.000,0.000,0.000
922255506965,267,1,4,0,0.589,214.810,3827.265,0.072,0.285,0.000,0.000,0.000,0.000,0.000
923259116571,277,1,4,0,0.589,214.810,3827.265,0.080,0.285,0.000,0.000,0.000,0.000,0.000
924261944803,286,1,4,0,0.589,214.810,3827.265,0.068,0.285,0.000,0.000,0.000,0.000,0.000
925262099076,296,2,4,0,0.589,214.810,3827.265,0.018,0.285,0.000,0.000,0.000,0.000,0.000
926262248269,306,2,4,0,0.589,214.810,3827.265,0.085,0.285,0.000,0.000,0.000,0.000,0.000
927262459680,316,2,4,0,0.589,214.810,3827.265,0.119,0.285,0.000,0.000,0.000,0.000,0.000
928262627459,326,2,5,0,0.600,138.154,2830.828,0.073,0.285,0.000,0.000,0.000,0.000,132.954
929262789809,336,2,5,0,0.600,138.154,2830.828,0.086,0.285,0.000,0.000,0.000,0.000,132.954
930263144532,346,2,5,0,0.600,138.154,2830.828,0.200,0.285,0.000,0.000,0.000,0.000,132.954
931263539939,355,2,5,0,0.600,138.154,2830.828,0.100,0.285,0.000,0.000,0.000,0.000,132.954
932263774970,365,2,5,0,0.600,138.154,2830.828,0.153,0.285,0.000,0.000,0.000,0.000,132.954
933303932997,375,2,5,0,0.600,138.154,2830.828,0.065,0.285,0.000,0.000,0.000,0.000,132.954
934304150573,385,2,5,0,0.600,138.154,2830.828,0.139,0.285,0.000,0.000,0.000,0.000,132.954
935304314077,395,2,5,0,0.600,138.154,2830.828,0.334,0.334,0.000,0.000,0.000,0.000,132.954
936304462061,405,2,6,0,0.538,147.473,2799.388,0.151,0.334,0.000,0.000,0.000,0.000,0.000
937304656660,415,2,6,0,0.538,147.473,2799.388,0.138,0.334,0.000,0.000,0.000,0.000,0.000
938311130986,425,2,6,0,0.538,147.473,2799.388,0.171,0.334,0.000,0.000,0.000,0.000,0.000
939313246972,435,2,6,0,0.538,147.473,2799.388,0.232,0.334,0.000,0.000,0.000,0.000,0.000
940320091551,444,2,6,0,0.538,147.473,2799.388,0.166,0.334,0.000,0.000,0.000,0.000,0.000
941320276191,454,2,6,0,0.538,147.473,2799.388,0.055,0.334,0.000,0.000,0.000,0.000,0.000
942320434135,464,2,6,0,0.538,147.473,2799.388,0.132,0.334,0.000,0.000,0.000,0.000,0.000
943320590041,474,2,6,0,0.538,147.473,2799.388,0.125,0.334,0.000,0.000,0.000,0.000,0.000
944320808716,484,2,7,0,0.605,144.688,2800.264,0.146,0.334,0.000,0.000,0.000,0.000,0.000
945320998282,494,2,7,0,0.605,144.688,2800.264,0.093,0.334,0.000,0.000,0.000,0.000,0.000
946327922381,504,2,7,0,0.605,144.688,2800.264,0.087,0.334,0.000,0.000,0.000,0.000,0.000
947329791767,513,2,7,0,0.605,144.688,2800.264,0.173,0.334,0.000,0.000,0.000,0.000,0.000
948335258707,523,2,7,0,0.605,144.688,2800.264,0.103,0.334,0.000,0.000,0.000,0.000,0.000
949335431422,532,2,7,0,0.605,144.688,2800.264,0.085,0.334,0.000,0.000,0.000,0.000,0.000
950335716779,542,2,7,0,0.605,144.688,2800.264,0.157,0.334,0.000,0.000,0.000,0.000,0.000
951335989148,552,2,7,0,0.605,144.688,2800.264,0.092,0.334,0.000,0.000,0.000,0.000,0.000
952336247885,563,2,8,0,0.558,194.897,2901.713,0.149,0.334,0.000,0.000,0.000,0.000,0.000
953336471598,573,2,8,0,0.558,194.897,2901.713,0.147,0.334,0.000,0.000,0.000,0.000,0.000
954336662340,583,2,8,0,0.558,194.897,2901.713,0.092,0.334,0.000,0.000,0.000,0.000,0.000
955337286816,592,3,8,0,0.558,194.897,2901.713,0.057,0.334,0.000,0.000,0.000,0.000,0.000
956341562704,602,3,8,0,0.558,194.897,2901.713,0.098,0.334,0.000,0.000,0.000,0.000,0.000
957342848789,611,3,8,0,0.558,194.897,2901.713,0.059,0.334,0.000,0.000,0.000,0.000,0.000
958348204615,621,3,8,0,0.558,194.897,2901.713,0.079,0.334,0.000,0.000,0.000,0.000,0.000
959348532192,630,3,8,0,0.558,194.897,2901.713,0.097,0.334,0.000,0.000,0.000,0.000,0.000
960348711590,641,3,8,0,0.558,194.897,2901.713,0.093,0.334,0.000,0.000,0.000,0.000,0.000
961348874815,651,3,8,0,0.558,194.897,2901.713,0.101,0.334,0.000,0.000,0.000,0.000,0.000
962349134671,661,3,9,0,0.586,142.846,4026.786,0.096,0.334,0.000,0.000,0.000,0.000,0.000
