timestamp_ns,bsm_cycles,bsm_deadline_miss,provision_ok,provision_fail,last_keygen_ms,last_enroll_ms,last_pseudonym_ms,last_bsm_sign_ms,max_bsm_sign_ms,last_mutex_wait_ms,max_mutex_wait_ms,last_crl_check_ms,max_crl_check_ms,revoke_request_ms
444255556935000,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
444255711176000,18148,0,364,0,0.389,0.291,0.050,0.060,29.918,0.000,0.021,2.043,2.043,0.000
444255793869000,3692,13,6,0,2.656,354.537,5617.673,0.095,2.530,0.000,0.005,0.000,0.000,0.000
444255817001000,5514,0,0,0,0.000,0.000,0.000,0.099,14.206,0.000,0.039,0.000,0.000,0.000
444255823419000,1523,6,9,0,2.296,328.334,5683.091,0.078,8.437,0.000,0.001,350.297,350.297,0.000
444256558199000,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
444256712493000,18158,0,364,0,0.389,0.291,0.050,0.199,29.918,0.000,0.021,2.043,2.043,0.000
444256795296000,3702,13,6,0,2.656,354.537,5617.673,0.130,2.530,0.000,0.005,0.000,0.000,0.000
444256818340000,5524,0,0,0,0.000,0.000,0.000,0.160,14.206,0.000,0.039,0.000,0.000,0.000
444256824703000,1533,6,9,0,2.296,328.334,5683.091,0.146,8.437,0.000,0.001,350.297,350.297,0.000
444257559670000,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
444257713937000,18168,0,364,0,0.389,0.291,0.050,0.100,29.918,0.000,0.021,2.043,2.043,0.000
444257796949000,3712,13,6,0,2.656,354.537,5617.673,0.116,2.530,0.000,0.005,0.000,0.000,0.000
444257819872000,5534,0,0,0,0.000,0.000,0.000,0.079,14.206,0.000,0.039,0.000,0.000,0.000
444257826148000,1543,6,9,0,2.296,328.334,5683.091,0.205,8.437,0.001,0.001,350.297,350.297,0.000
444258560970000,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
444258714411000,18178,0,364,0,0.389,0.291,0.050,0.079,29.918,0.000,0.021,2.043,2.043,0.000
444258798212000,3722,13,6,0,2.656,354.537,5617.673,0.118,2.530,0.000,0.005,0.000,0.000,0.000
